,STATE,ZIP Code,NUMBER OF RETURNS,NUMBER OF RETURNS WITH TOTAL INCOME,TOTAL INCOME AMOUNT,NUMBER OF RETURNS WITH SALARIES AND WAGES,SALARIES AND WAGES AMOUNT,Brewery,Address,City,State
0,AL,35004,5210.0,5210.0,290260.0,4550.0,234833.0,,,,
1,AL,35005,3100.0,3100.0,121690.0,2660.0,98565.0,,,,
2,AL,35006,1200.0,1200.0,57418.0,1040.0,43707.0,,,,
3,AL,35007,11940.0,11940.0,697882.0,10180.0,545418.0,siluria brewing company,145 1st ave w,Alabaster,AL
4,AL,35010,7910.0,7910.0,384319.0,6700.0,266658.0,,,,
5,AL,35014,1620.0,1620.0,75228.0,1410.0,57364.0,,,,
6,AL,35016,7130.0,7130.0,366988.0,5680.0,262108.0,,,,
7,AL,35019,890.0,890.0,38993.0,740.0,30460.0,,,,
8,AL,35020,9050.0,9050.0,251540.0,7930.0,207009.0,,,,
9,AL,35022,9800.0,9800.0,551747.0,8270.0,432275.0,,,,
10,AL,35023,10050.0,10050.0,469381.0,8330.0,358387.0,,,,
11,AL,35031,2860.0,2860.0,121339.0,2400.0,95760.0,,,,
12,AL,35033,1380.0,1380.0,81906.0,1160.0,59485.0,,,,
13,AL,35034,1390.0,1390.0,52266.0,1230.0,40327.0,,,,
14,AL,35035,570.0,570.0,37725.0,460.0,21504.0,,,,
15,AL,35040,7590.0,7590.0,402014.0,6780.0,332262.0,,,,
16,AL,35042,2200.0,2200.0,103462.0,1880.0,81515.0,,,,
17,AL,35043,5070.0,5070.0,422071.0,4300.0,317647.0,,,,
18,AL,35044,3060.0,3060.0,128191.0,2610.0,96251.0,,,,
19,AL,35045,5500.0,5500.0,257571.0,4630.0,192997.0,,,,
20,AL,35046,2350.0,2350.0,125440.0,1890.0,90849.0,,,,
21,AL,35049,1550.0,1550.0,76185.0,1300.0,61363.0,,,,
22,AL,35051,3290.0,3290.0,208502.0,2750.0,142647.0,,,,
23,AL,35053,1050.0,1050.0,67089.0,740.0,41015.0,,,,
24,AL,35054,1820.0,1820.0,127737.0,1410.0,78989.0,,,,
25,AL,35055,7950.0,7950.0,415554.0,6610.0,297425.0,goat island brewing,1646 a john h cooper drive,Cullman,AL
26,AL,35057,5290.0,5290.0,285110.0,4450.0,212561.0,,,,
27,AL,35058,4220.0,4220.0,215699.0,3500.0,158418.0,,,,
28,AL,35060,160.0,160.0,4445.0,130.0,3526.0,,,,
29,AL,35061,640.0,640.0,22427.0,550.0,17170.0,,,,
30,AL,35062,3220.0,3220.0,171707.0,2720.0,131341.0,,,,
31,AL,35063,1200.0,1200.0,52224.0,1020.0,40050.0,,,,
32,AL,35064,4300.0,4300.0,147677.0,3710.0,110856.0,,,,
33,AL,35068,3760.0,3760.0,180971.0,3210.0,147047.0,,,,
34,AL,35071,7480.0,7480.0,464235.0,6100.0,345666.0,,,,
35,AL,35072,1820.0,1820.0,72208.0,1580.0,57255.0,,,,
36,AL,35073,930.0,930.0,36588.0,760.0,27810.0,,,,
37,AL,35077,5210.0,5210.0,223225.0,4380.0,172400.0,,,,
38,AL,35078,870.0,870.0,43268.0,730.0,32829.0,,,,
39,AL,35079,3420.0,3420.0,185521.0,2960.0,145443.0,,,,
40,AL,35080,7840.0,7840.0,562560.0,6850.0,458108.0,,,,
41,AL,35083,1200.0,1200.0,54355.0,1030.0,43388.0,,,,
42,AL,35085,3400.0,3400.0,153921.0,2930.0,124434.0,,,,
43,AL,35087,840.0,840.0,33612.0,700.0,25658.0,,,,
44,AL,35089,750.0,750.0,24222.0,660.0,19884.0,,,,
45,AL,35091,1260.0,1260.0,86371.0,1140.0,73067.0,,,,
46,AL,35094,6290.0,6290.0,352220.0,5240.0,256438.0,,,,
47,AL,35096,3420.0,3420.0,171424.0,2930.0,134892.0,,,,
48,AL,35097,770.0,770.0,37608.0,640.0,29639.0,,,,
49,AL,35098,560.0,560.0,24644.0,450.0,19642.0,,,,
50,AL,35111,6970.0,6970.0,438293.0,5910.0,338664.0,,,,
51,AL,35112,180.0,180.0,5893.0,150.0,5132.0,,,,
52,AL,35114,3070.0,3070.0,198704.0,2640.0,161605.0,,,,
53,AL,35115,5200.0,5200.0,232431.0,4350.0,173542.0,,,,
54,AL,35116,2000.0,2000.0,123862.0,1650.0,90991.0,,,,
55,AL,35117,2680.0,2680.0,168588.0,2210.0,128244.0,,,,
56,AL,35118,1350.0,1350.0,61394.0,1100.0,45049.0,,,,
57,AL,35120,6110.0,6110.0,324451.0,5420.0,266963.0,,,,
58,AL,35121,5880.0,5880.0,306816.0,4760.0,208682.0,,,,
59,AL,35124,11730.0,11730.0,940188.0,9720.0,633974.0,,,,
60,AL,35125,4390.0,4390.0,199723.0,3760.0,150842.0,,,,
61,AL,35126,9500.0,9500.0,501447.0,8150.0,393464.0,,,,
62,AL,35127,4340.0,4340.0,222942.0,3720.0,173570.0,,,,
63,AL,35128,4270.0,4270.0,262744.0,3570.0,187000.0,,,,
64,AL,35130,1200.0,1200.0,54045.0,1000.0,39765.0,,,,
65,AL,35131,1480.0,1480.0,62565.0,1280.0,51523.0,,,,
66,AL,35133,1560.0,1560.0,78422.0,1290.0,57908.0,,,,
67,AL,35135,810.0,810.0,45183.0,670.0,34966.0,,,,
68,AL,35136,650.0,650.0,31357.0,520.0,21044.0,,,,
69,AL,35143,1240.0,1240.0,67377.0,970.0,45407.0,,,,
70,AL,35146,4520.0,4520.0,293899.0,3760.0,217178.0,,,,
71,AL,35147,2280.0,2280.0,163944.0,1980.0,124456.0,,,,
72,AL,35148,1060.0,1060.0,45598.0,870.0,32132.0,,,,
73,AL,35149,240.0,240.0,8442.0,210.0,7199.0,,,,
74,AL,35150,6940.0,6940.0,297473.0,6060.0,224838.0,,,,
75,AL,35151,2940.0,2940.0,143276.0,2500.0,112965.0,,,,
76,AL,35160,9680.0,9680.0,405145.0,8280.0,298137.0,,,,
77,AL,35171,1330.0,1330.0,72157.0,1170.0,56240.0,,,,
78,AL,35172,1120.0,1120.0,47755.0,940.0,37946.0,,,,
79,AL,35173,12710.0,12710.0,1060223.0,10610.0,773258.0,slag heap brewing company,227 main st,Trussville,AL
80,AL,35175,2060.0,2060.0,122506.0,1660.0,83390.0,,,,
81,AL,35176,330.0,330.0,14056.0,280.0,11275.0,,,,
82,AL,35178,1460.0,1460.0,67281.0,1220.0,48532.0,,,,
83,AL,35179,3730.0,3730.0,189961.0,3150.0,144047.0,,,,
84,AL,35180,5680.0,5680.0,314796.0,4820.0,245749.0,,,,
85,AL,35183,280.0,280.0,13040.0,230.0,9932.0,,,,
86,AL,35184,2080.0,2080.0,92146.0,1840.0,74163.0,,,,
87,AL,35186,2020.0,2020.0,147767.0,1680.0,98555.0,,,,
88,AL,35188,1170.0,1170.0,62818.0,1050.0,51312.0,,,,
89,AL,35203,1350.0,1350.0,138219.0,1140.0,73294.0,,,,
90,AL,35204,3590.0,3590.0,91630.0,3180.0,74045.0,,,,
91,AL,35205,7630.0,7630.0,445366.0,6800.0,294469.0,,,,
92,AL,35206,6530.0,6530.0,195322.0,5790.0,163065.0,,,,
93,AL,35207,3280.0,3280.0,83879.0,2860.0,68971.0,,,,
94,AL,35208,5790.0,5790.0,160292.0,5100.0,132099.0,,,,
95,AL,35209,11970.0,11970.0,1315379.0,10180.0,729711.0,the grocery brewpub,2823 central ave ste 107,Birmingham,AL
96,AL,35210,6580.0,6580.0,380337.0,5420.0,269710.0,,,,
97,AL,35211,10610.0,10610.0,329763.0,9300.0,268086.0,,,,
98,AL,35212,4710.0,4710.0,167703.0,4270.0,136280.0,,,,
99,AL,35213,6830.0,6830.0,1561430.0,5130.0,679881.0,,,,
100,AL,35214,8260.0,8260.0,312350.0,7020.0,237482.0,,,,
101,AL,35215,19940.0,19940.0,669433.0,17880.0,563682.0,,,,
102,AL,35216,16150.0,16150.0,1445471.0,13500.0,922210.0,,,,
103,AL,35217,5030.0,5030.0,166809.0,4370.0,127951.0,,,,
104,AL,35218,2580.0,2580.0,64054.0,2330.0,55209.0,,,,
105,AL,35221,1790.0,1790.0,48603.0,1570.0,39642.0,,,,
106,AL,35222,3760.0,3760.0,326400.0,3220.0,225474.0,avondale brewing co,201 41st st s,Birmingham,AL
107,AL,35222,3760.0,3760.0,326400.0,3220.0,225474.0,back forty beer company - birmingham,3201 1st avenue n,Birmingham,AL
108,AL,35222,3760.0,3760.0,326400.0,3220.0,225474.0,cahaba brewing co,4500 5th ave s ste c,Birmingham,AL
109,AL,35223,5480.0,5480.0,1885280.0,4050.0,688373.0,,,,
110,AL,35224,2150.0,2150.0,63449.0,1860.0,52897.0,,,,
111,AL,35226,16570.0,16570.0,1676160.0,13650.0,1164047.0,,,,
112,AL,35228,4220.0,4220.0,124333.0,3770.0,105051.0,,,,
113,AL,35233,880.0,880.0,62669.0,790.0,44462.0,birmingham district brewing,2201 2nd ave s ste 102,Birmingham,AL
114,AL,35233,880.0,880.0,62669.0,790.0,44462.0,ghost train brewing co,2616 3rd ave s,Birmingham,AL
115,AL,35233,880.0,880.0,62669.0,790.0,44462.0,good people brewing co,114 14th st s,Birmingham,AL
116,AL,35233,880.0,880.0,62669.0,790.0,44462.0,trim tab brewing,2721 5th ave s,Birmingham,AL
117,AL,35234,1910.0,1910.0,46247.0,1730.0,40932.0,,,,
118,AL,35235,9230.0,9230.0,397481.0,8040.0,321040.0,,,,
119,AL,35242,25250.0,25250.0,3310806.0,20690.0,2079039.0,,,,
120,AL,35243,9880.0,9880.0,1317704.0,7830.0,759336.0,,,,
121,AL,35244,15940.0,15940.0,1515465.0,13450.0,1074919.0,,,,
122,AL,35401,9870.0,9870.0,338454.0,8810.0,234996.0,black warrior brewing co.,2216 university blvd,Tuscaloosa,AL
123,AL,35401,9870.0,9870.0,338454.0,8810.0,234996.0,druid city brewing,607 14th st,Tuscaloosa,AL
124,AL,35404,7910.0,7910.0,327754.0,6980.0,229912.0,,,,
125,AL,35405,18070.0,18070.0,867576.0,15940.0,659982.0,,,,
126,AL,35406,6670.0,6670.0,893646.0,5230.0,496198.0,,,,
127,AL,35441,460.0,460.0,19067.0,410.0,15468.0,,,,
128,AL,35442,1880.0,1880.0,69257.0,1670.0,50269.0,,,,
129,AL,35443,650.0,650.0,21101.0,580.0,16316.0,,,,
130,AL,35444,1510.0,1510.0,70501.0,1330.0,57129.0,,,,
131,AL,35446,840.0,840.0,40284.0,740.0,31346.0,,,,
132,AL,35447,1220.0,1220.0,49435.0,1040.0,37691.0,,,,
133,AL,35452,1570.0,1570.0,79634.0,1290.0,58755.0,,,,
134,AL,35453,4860.0,4860.0,226324.0,4210.0,175398.0,,,,
135,AL,35456,1810.0,1810.0,80948.0,1550.0,61589.0,,,,
136,AL,35458,220.0,220.0,10243.0,180.0,8014.0,,,,
137,AL,35459,320.0,320.0,11187.0,260.0,8154.0,,,,
138,AL,35460,240.0,240.0,7234.0,190.0,5924.0,,,,
139,AL,35461,700.0,700.0,31499.0,560.0,24134.0,,,,
140,AL,35462,1850.0,1850.0,62969.0,1570.0,45200.0,,,,
141,AL,35463,770.0,770.0,35578.0,650.0,27955.0,,,,
142,AL,35464,200.0,200.0,4832.0,160.0,3507.0,,,,
143,AL,35466,2240.0,2240.0,112931.0,1890.0,87618.0,,,,
144,AL,35469,130.0,130.0,4502.0,100.0,3546.0,,,,
145,AL,35470,1800.0,1800.0,74458.0,1540.0,55491.0,,,,
146,AL,35473,7110.0,7110.0,403896.0,5950.0,290798.0,,,,
147,AL,35474,2770.0,2770.0,136054.0,2460.0,110952.0,,,,
148,AL,35475,6850.0,6850.0,565639.0,5840.0,376982.0,,,,
149,AL,35476,3660.0,3660.0,157052.0,3200.0,109432.0,,,,
150,AL,35480,690.0,690.0,37148.0,600.0,30270.0,,,,
151,AL,35481,1280.0,1280.0,51831.0,1060.0,37739.0,,,,
152,AL,35490,1720.0,1720.0,90063.0,1580.0,76741.0,,,,
153,AL,35501,3670.0,3670.0,152568.0,3110.0,111771.0,tallulah brewing company,1804 4th ave s,Jasper,AL
154,AL,35501,3670.0,3670.0,152568.0,3110.0,111771.0,twisted barley brewing company,520 19th st w,Jasper,AL
155,AL,35503,3290.0,3290.0,159625.0,2790.0,118507.0,,,,
156,AL,35504,5050.0,5050.0,312914.0,4170.0,221226.0,,,,
157,AL,35540,920.0,920.0,40362.0,760.0,31278.0,,,,
158,AL,35541,1280.0,1280.0,77972.0,970.0,49580.0,,,,
159,AL,35542,440.0,430.0,17990.0,370.0,15215.0,,,,
160,AL,35543,380.0,380.0,13844.0,320.0,10932.0,,,,
161,AL,35544,230.0,230.0,9113.0,200.0,7236.0,,,,
162,AL,35546,1470.0,1470.0,65134.0,1240.0,52629.0,,,,
163,AL,35548,550.0,550.0,18308.0,460.0,15030.0,,,,
164,AL,35549,1350.0,1350.0,50178.0,1110.0,38173.0,,,,
165,AL,35550,1820.0,1820.0,82619.0,1530.0,63414.0,,,,
166,AL,35552,350.0,350.0,13467.0,280.0,10680.0,,,,
167,AL,35553,1660.0,1660.0,76332.0,1380.0,51476.0,,,,
168,AL,35554,410.0,410.0,18650.0,350.0,14672.0,,,,
169,AL,35555,3640.0,3640.0,160996.0,2990.0,117406.0,,,,
170,AL,35563,1560.0,1560.0,69832.0,1320.0,51050.0,,,,
171,AL,35564,780.0,780.0,28396.0,640.0,21973.0,,,,
172,AL,35565,4710.0,4710.0,195663.0,4040.0,145617.0,,,,
173,AL,35570,3900.0,3900.0,164783.0,3250.0,121614.0,,,,
174,AL,35571,330.0,330.0,14477.0,270.0,10765.0,,,,
175,AL,35572,380.0,380.0,17550.0,290.0,11057.0,,,,
176,AL,35574,560.0,560.0,24688.0,450.0,19365.0,,,,
177,AL,35575,370.0,370.0,15280.0,330.0,12802.0,,,,
178,AL,35576,1140.0,1140.0,52450.0,910.0,39094.0,,,,
179,AL,35578,1820.0,1820.0,73569.0,1570.0,58385.0,,,,
180,AL,35579,1170.0,1170.0,50228.0,980.0,39162.0,,,,
181,AL,35580,1430.0,1430.0,64916.0,1220.0,49719.0,,,,
182,AL,35581,1930.0,1930.0,74124.0,1640.0,58681.0,,,,
183,AL,35582,1680.0,1680.0,85224.0,1460.0,57939.0,,,,
184,AL,35584,160.0,160.0,5099.0,140.0,3661.0,,,,
185,AL,35585,610.0,610.0,25521.0,490.0,19770.0,,,,
186,AL,35586,1580.0,1580.0,66241.0,1330.0,51757.0,,,,
187,AL,35587,310.0,310.0,13753.0,250.0,9541.0,,,,
188,AL,35592,1620.0,1620.0,72047.0,1350.0,55691.0,,,,
189,AL,35593,670.0,670.0,27478.0,600.0,23027.0,,,,
190,AL,35594,2840.0,2840.0,137030.0,2420.0,103934.0,,,,
191,AL,35601,13580.0,13580.0,600460.0,11340.0,408374.0,cross-eyed owl brewing co.,105 1st ave ne,Decatur,AL
192,AL,35603,13950.0,13950.0,902917.0,11410.0,607664.0,,,,
193,AL,35610,750.0,750.0,32956.0,600.0,25524.0,,,,
194,AL,35611,10180.0,10180.0,477358.0,8410.0,340241.0,,,,
195,AL,35613,9040.0,9040.0,696180.0,7440.0,495251.0,,,,
196,AL,35614,2990.0,2990.0,137876.0,2480.0,101842.0,,,,
197,AL,35616,1460.0,1460.0,64135.0,1180.0,47446.0,,,,
198,AL,35618,750.0,750.0,28898.0,640.0,20986.0,,,,
199,AL,35619,2020.0,2020.0,94026.0,1680.0,72401.0,,,,
200,AL,35620,3750.0,3750.0,184537.0,3170.0,143616.0,,,,
201,AL,35621,1150.0,1150.0,55231.0,990.0,44962.0,,,,
202,AL,35622,2610.0,2610.0,119577.0,2220.0,93338.0,,,,
203,AL,35630,12520.0,12520.0,562415.0,10180.0,351244.0,"singin' river brewing company, llc",526 e college st,Florence,AL
204,AL,35633,8570.0,8570.0,448915.0,6860.0,316436.0,,,,
205,AL,35634,4500.0,4500.0,363826.0,3490.0,196338.0,,,,
206,AL,35640,10680.0,10680.0,593404.0,8920.0,447092.0,,,,
207,AL,35643,1300.0,1300.0,52212.0,1080.0,38578.0,,,,
208,AL,35645,5710.0,5710.0,376883.0,4560.0,256816.0,,,,
209,AL,35646,1820.0,1820.0,83070.0,1520.0,60256.0,,,,
210,AL,35647,430.0,430.0,21418.0,350.0,15689.0,,,,
211,AL,35648,1550.0,1550.0,76998.0,1230.0,60406.0,,,,
212,AL,35650,5480.0,5480.0,255886.0,4490.0,192515.0,,,,
213,AL,35651,430.0,430.0,18778.0,340.0,14813.0,,,,
214,AL,35652,3370.0,3370.0,181596.0,2630.0,130135.0,,,,
215,AL,35653,4570.0,4570.0,197530.0,3910.0,144714.0,,,,
216,AL,35654,3050.0,3050.0,124007.0,2560.0,96174.0,,,,
217,AL,35660,3790.0,3790.0,149365.0,3130.0,104061.0,,,,
218,AL,35661,7680.0,7680.0,464143.0,6230.0,314300.0,,,,
219,AL,35670,3170.0,3170.0,158498.0,2570.0,117136.0,,,,
220,AL,35671,910.0,910.0,45328.0,770.0,33373.0,,,,
221,AL,35672,2430.0,2430.0,114185.0,2010.0,88979.0,,,,
222,AL,35673,3420.0,3420.0,174867.0,2880.0,138411.0,,,,
223,AL,35674,7840.0,7840.0,457070.0,6440.0,289920.0,,,,
224,AL,35677,720.0,720.0,31174.0,570.0,23278.0,,,,
225,AL,35739,2120.0,2120.0,107876.0,1780.0,80457.0,,,,
226,AL,35740,1340.0,1340.0,56179.0,1100.0,43374.0,,,,
227,AL,35741,1460.0,1460.0,168016.0,1120.0,112172.0,,,,
228,AL,35744,930.0,930.0,36755.0,790.0,28273.0,,,,
229,AL,35746,350.0,350.0,13820.0,310.0,11358.0,,,,
230,AL,35747,2430.0,2430.0,130959.0,1980.0,92045.0,,,,
231,AL,35748,3130.0,3130.0,259237.0,2590.0,179634.0,,,,
232,AL,35749,11230.0,11230.0,751022.0,9810.0,599727.0,,,,
233,AL,35750,5890.0,5890.0,301608.0,5030.0,238488.0,,,,
234,AL,35752,820.0,820.0,36598.0,710.0,27283.0,,,,
235,AL,35754,2190.0,2190.0,115622.0,1770.0,82121.0,,,,
236,AL,35755,270.0,270.0,14275.0,220.0,8653.0,,,,
237,AL,35756,7500.0,7500.0,628241.0,6780.0,510723.0,,,,
238,AL,35757,7350.0,7350.0,546100.0,6320.0,426430.0,,,,
239,AL,35758,21200.0,21200.0,1860735.0,18320.0,1391504.0,blue pants brewery,"500 lanier rd, bld 1 - ste a",Madison,AL
240,AL,35758,21200.0,21200.0,1860735.0,18320.0,1391504.0,old black bear brewing,208 main st,Madison,AL
241,AL,35758,21200.0,21200.0,1860735.0,18320.0,1391504.0,rocket republic brewing company,289 production ave,Madison,AL
242,AL,35759,4060.0,4060.0,266955.0,3400.0,205335.0,,,,
243,AL,35760,2090.0,2090.0,100476.0,1750.0,76419.0,,,,
244,AL,35761,5100.0,5100.0,314964.0,4370.0,242521.0,,,,
245,AL,35763,8070.0,8070.0,860134.0,6670.0,613554.0,,,,
246,AL,35764,230.0,230.0,8060.0,190.0,6605.0,,,,
247,AL,35765,1440.0,1440.0,59629.0,1200.0,48875.0,,,,
248,AL,35768,4710.0,4710.0,213940.0,3930.0,153453.0,,,,
249,AL,35769,4190.0,4190.0,294823.0,3350.0,171575.0,,,,
250,AL,35771,1380.0,1380.0,58240.0,1150.0,44730.0,,,,
251,AL,35772,1850.0,1850.0,76927.0,1600.0,61540.0,,,,
252,AL,35773,5500.0,5500.0,289749.0,4700.0,224881.0,,,,
253,AL,35775,300.0,300.0,11117.0,240.0,8801.0,,,,
254,AL,35776,1380.0,1380.0,59483.0,1140.0,45328.0,,,,
255,AL,35801,10110.0,10110.0,1187912.0,7580.0,655203.0,below the radar brewing co,220 holmes ave ne,Huntsville,AL
256,AL,35801,10110.0,10110.0,1187912.0,7580.0,655203.0,green bus brewing,206 eustis ave se,Huntsville,AL
257,AL,35801,10110.0,10110.0,1187912.0,7580.0,655203.0,mad malts brewery & tap room,109 maple ave nw,Huntsville,AL
258,AL,35802,11070.0,11070.0,1029760.0,8120.0,593856.0,,,,
259,AL,35803,13260.0,13260.0,996668.0,10420.0,680878.0,,,,
260,AL,35805,8320.0,8320.0,216090.0,7290.0,176015.0,garr's beer co.,2620 clinton ave. w,Huntsville,AL
261,AL,35805,8320.0,8320.0,216090.0,7290.0,176015.0,innerspace brewing company,2414 clinton ave w,Huntsville,AL
262,AL,35805,8320.0,8320.0,216090.0,7290.0,176015.0,salty nut brewery,2406 clinton ave w,Huntsville,AL
263,AL,35805,8320.0,8320.0,216090.0,7290.0,176015.0,straight to ale,2610 clinton ave w,Huntsville,AL
264,AL,35805,8320.0,8320.0,216090.0,7290.0,176015.0,yellowhammer brewery,2600 clinton ave w,Huntsville,AL
265,AL,35806,11180.0,11180.0,797256.0,9680.0,597207.0,,,,
266,AL,35808,430.0,430.0,38386.0,390.0,30454.0,,,,
267,AL,35810,13510.0,13510.0,457653.0,11570.0,341411.0,,,,
268,AL,35811,12530.0,12530.0,751679.0,10490.0,554986.0,,,,
269,AL,35816,5640.0,5640.0,152557.0,5030.0,119877.0,,,,
270,AL,35824,4180.0,4180.0,329837.0,3800.0,260220.0,,,,
271,AL,35901,7340.0,7340.0,418881.0,5990.0,265601.0,back forty beer co,200 n 6th st,Gadsden,AL
272,AL,35903,7130.0,7130.0,277478.0,6010.0,212153.0,,,,
273,AL,35904,5210.0,5210.0,194475.0,4300.0,145958.0,,,,
274,AL,35905,2670.0,2670.0,131054.0,2150.0,99215.0,,,,
275,AL,35906,4470.0,4470.0,236626.0,3550.0,164391.0,,,,
276,AL,35907,3770.0,3770.0,241189.0,3060.0,170886.0,,,,
277,AL,35950,8660.0,8660.0,346379.0,7470.0,264941.0,,,,
278,AL,35951,4970.0,4970.0,197941.0,4290.0,149560.0,,,,
279,AL,35952,2660.0,2660.0,110527.0,2220.0,86096.0,,,,
280,AL,35953,2920.0,2920.0,142809.0,2420.0,107839.0,,,,
281,AL,35954,4710.0,4710.0,178267.0,3970.0,137086.0,,,,
282,AL,35956,3370.0,3370.0,149788.0,2800.0,117283.0,,,,
283,AL,35957,6330.0,6330.0,259144.0,5360.0,198808.0,,,,
284,AL,35958,1160.0,1160.0,50743.0,980.0,40313.0,,,,
285,AL,35959,1770.0,1770.0,79138.0,1400.0,54964.0,,,,
286,AL,35960,3700.0,3700.0,176649.0,2890.0,122376.0,,,,
287,AL,35961,2260.0,2260.0,83009.0,1950.0,68230.0,,,,
288,AL,35962,2620.0,2620.0,103803.0,2270.0,79551.0,,,,
289,AL,35963,620.0,620.0,24074.0,540.0,19093.0,,,,
290,AL,35966,1330.0,1330.0,55905.0,1130.0,46206.0,,,,
291,AL,35967,6060.0,6060.0,266297.0,5140.0,194835.0,,,,
292,AL,35968,2210.0,2210.0,108903.0,1790.0,72954.0,,,,
293,AL,35971,1740.0,1740.0,71309.0,1480.0,57362.0,,,,
294,AL,35972,490.0,490.0,22307.0,380.0,16036.0,,,,
295,AL,35973,1040.0,1040.0,41181.0,870.0,32262.0,,,,
296,AL,35974,730.0,730.0,29150.0,610.0,22755.0,,,,
297,AL,35975,380.0,380.0,16410.0,310.0,12643.0,,,,
298,AL,35976,6970.0,6970.0,445477.0,5420.0,276664.0,main channel brewing company,2090 gunter ave,Guntersville,AL
299,AL,35978,2000.0,2000.0,87537.0,1680.0,63033.0,,,,
300,AL,35979,550.0,550.0,20156.0,450.0,16715.0,,,,
301,AL,35980,1800.0,1800.0,68282.0,1500.0,52917.0,,,,
302,AL,35981,780.0,780.0,32607.0,670.0,26124.0,,,,
303,AL,35983,1420.0,1420.0,64909.0,1140.0,46367.0,,,,
304,AL,35984,820.0,820.0,42295.0,560.0,22015.0,,,,
305,AL,35986,3150.0,3150.0,143382.0,2690.0,110577.0,,,,
306,AL,35987,950.0,950.0,41822.0,740.0,30442.0,,,,
307,AL,35988,690.0,690.0,27879.0,610.0,21237.0,,,,
308,AL,35989,1240.0,1240.0,56607.0,1030.0,43369.0,,,,
309,AL,36003,750.0,750.0,33560.0,670.0,24627.0,,,,
310,AL,36005,660.0,660.0,28829.0,540.0,21826.0,,,,
311,AL,36006,560.0,560.0,24941.0,470.0,19835.0,,,,
312,AL,36009,1050.0,1050.0,49208.0,900.0,38181.0,,,,
313,AL,36010,2110.0,2110.0,77158.0,1810.0,60349.0,,,,
314,AL,36013,210.0,210.0,21344.0,180.0,11649.0,,,,
315,AL,36016,1200.0,1200.0,45164.0,990.0,31597.0,,,,
316,AL,36017,530.0,530.0,17821.0,430.0,12916.0,,,,
317,AL,36020,530.0,530.0,22671.0,450.0,16332.0,,,,
318,AL,36022,5740.0,5740.0,364282.0,4920.0,269470.0,,,,
319,AL,36024,2600.0,2600.0,149261.0,2100.0,97457.0,,,,
320,AL,36025,1650.0,1650.0,78653.0,1390.0,58528.0,,,,
321,AL,36026,430.0,430.0,29055.0,310.0,16661.0,,,,
322,AL,36027,5950.0,5950.0,251057.0,4990.0,178775.0,,,,
323,AL,36028,700.0,700.0,29317.0,570.0,21132.0,,,,
324,AL,36029,380.0,380.0,21820.0,310.0,15031.0,,,,
325,AL,36030,200.0,200.0,7043.0,170.0,5285.0,,,,
326,AL,36032,1060.0,1060.0,36647.0,960.0,29925.0,,,,
327,AL,36033,1530.0,1530.0,58716.0,1310.0,45111.0,,,,
328,AL,36034,310.0,310.0,12804.0,280.0,10093.0,,,,
329,AL,36035,790.0,790.0,38233.0,640.0,28950.0,,,,
330,AL,36036,790.0,790.0,31876.0,670.0,25633.0,,,,
331,AL,36037,5420.0,5420.0,219468.0,4760.0,166112.0,,,,
332,AL,36039,120.0,120.0,3549.0,100.0,2417.0,,,,
333,AL,36040,1560.0,1560.0,46728.0,1360.0,38246.0,,,,
334,AL,36041,560.0,560.0,23058.0,470.0,18780.0,,,,
335,AL,36042,560.0,560.0,24125.0,440.0,18045.0,,,,
336,AL,36043,1630.0,1630.0,88661.0,1360.0,61127.0,,,,
337,AL,36046,560.0,560.0,26139.0,470.0,19371.0,,,,
338,AL,36047,570.0,570.0,22443.0,490.0,16078.0,,,,
339,AL,36048,540.0,540.0,17776.0,440.0,13225.0,,,,
340,AL,36049,2210.0,2210.0,100598.0,1870.0,74359.0,,,,
341,AL,36051,950.0,950.0,41327.0,800.0,32784.0,,,,
342,AL,36052,390.0,390.0,33124.0,310.0,21539.0,,,,
343,AL,36053,760.0,760.0,24196.0,670.0,19886.0,,,,
344,AL,36054,6530.0,6530.0,340087.0,5670.0,255233.0,,,,
345,AL,36064,4820.0,4820.0,480859.0,4170.0,320718.0,,,,
346,AL,36066,8820.0,8820.0,538082.0,7420.0,392022.0,,,,
347,AL,36067,11050.0,11050.0,593265.0,9500.0,437612.0,,,,
348,AL,36069,780.0,780.0,37821.0,620.0,26084.0,,,,
349,AL,36071,330.0,330.0,11668.0,280.0,9453.0,,,,
350,AL,36075,870.0,870.0,35042.0,750.0,26931.0,,,,
351,AL,36078,5500.0,5500.0,274669.0,4660.0,195264.0,,,,
352,AL,36079,3630.0,3630.0,179492.0,3170.0,136195.0,,,,
353,AL,36080,1040.0,1040.0,63762.0,810.0,40963.0,,,,
354,AL,36081,5740.0,5740.0,276264.0,5000.0,185832.0,,,,
355,AL,36083,3360.0,3360.0,109754.0,2770.0,79575.0,,,,
356,AL,36088,1010.0,1010.0,28945.0,860.0,20965.0,,,,
357,AL,36089,2950.0,2950.0,95971.0,2570.0,73509.0,,,,
358,AL,36091,1440.0,1440.0,66890.0,1210.0,49221.0,,,,
359,AL,36092,8710.0,8710.0,425136.0,7300.0,308270.0,,,,
360,AL,36093,5030.0,5030.0,385264.0,4080.0,261689.0,,,,
361,AL,36104,2640.0,2640.0,109777.0,2340.0,73525.0,"common bond brewers, llc",424 bibb street suite 150,Montgomery,AL
